NMR-STAR link ID,CIF to STAR transform code,tagCategory,tagField,mmCIF/pdbx data item,additional_transform_data,entryIdFlg,pdbxMapExistsFlg
14200,,2015-08-14 pdbx version,,,,,Y
TBL_BEGIN,,,,,,,Y
,,atom_site,adp_type,_atom_site.adp_type,?,N,Y
,,atom_site,aniso_B[1][1],_atom_site.aniso_B[1][1],?,N,Y
,,atom_site,aniso_B[1][1]_esd,_atom_site.aniso_B[1][1]_esd,?,N,Y
,,atom_site,aniso_B[1][2],_atom_site.aniso_B[1][2],?,N,Y
,,atom_site,aniso_B[1][2]_esd,_atom_site.aniso_B[1][2]_esd,?,N,Y
,,atom_site,aniso_B[1][3],_atom_site.aniso_B[1][3],?,N,Y
,,atom_site,aniso_B[1][3]_esd,_atom_site.aniso_B[1][3]_esd,?,N,Y
,,atom_site,aniso_B[2][2],_atom_site.aniso_B[2][2],?,N,Y
,,atom_site,aniso_B[2][2]_esd,_atom_site.aniso_B[2][2]_esd,?,N,Y
,,atom_site,aniso_B[2][3],_atom_site.aniso_B[2][3],?,N,Y
,,atom_site,aniso_B[2][3]_esd,_atom_site.aniso_B[2][3]_esd,?,N,Y
,,atom_site,aniso_B[3][3],_atom_site.aniso_B[3][3],?,N,Y
,,atom_site,aniso_B[3][3]_esd,_atom_site.aniso_B[3][3]_esd,?,N,Y
,,atom_site,aniso_ratio,_atom_site.aniso_ratio,?,N,Y
,,atom_site,aniso_U[1][1],_atom_site.aniso_U[1][1],?,N,Y
,,atom_site,aniso_U[1][1]_esd,_atom_site.aniso_U[1][1]_esd,?,N,Y
,,atom_site,aniso_U[1][2],_atom_site.aniso_U[1][2],?,N,Y
,,atom_site,aniso_U[1][2]_esd,_atom_site.aniso_U[1][2]_esd,?,N,Y
,,atom_site,aniso_U[1][3],_atom_site.aniso_U[1][3],?,N,Y
,,atom_site,aniso_U[1][3]_esd,_atom_site.aniso_U[1][3]_esd,?,N,Y
,,atom_site,aniso_U[2][2],_atom_site.aniso_U[2][2],?,N,Y
,,atom_site,aniso_U[2][2]_esd,_atom_site.aniso_U[2][2]_esd,?,N,Y
,,atom_site,aniso_U[2][3],_atom_site.aniso_U[2][3],?,N,Y
,,atom_site,aniso_U[2][3]_esd,_atom_site.aniso_U[2][3]_esd,?,N,Y
,,atom_site,aniso_U[3][3],_atom_site.aniso_U[3][3],?,N,Y
,,atom_site,aniso_U[3][3]_esd,_atom_site.aniso_U[3][3]_esd,?,N,Y
,,atom_site,attached_hydrogens,_atom_site.attached_hydrogens,?,N,Y
10733,1,atom_site,auth_asym_id,_atom_site.auth_asym_id,?,N,Y
1001,1,atom_site,auth_atom_id,_atom_site.auth_atom_id,?,N,Y
1002,1,atom_site,auth_comp_id,_atom_site.auth_comp_id,?,N,Y
1003,1,atom_site,auth_seq_id,_atom_site.auth_seq_id,?,N,Y
,,atom_site,B_equiv_geom_mean,_atom_site.B_equiv_geom_mean,?,N,Y
,,atom_site,B_equiv_geom_mean_esd,_atom_site.B_equiv_geom_mean_esd,?,N,Y
,,atom_site,B_iso_or_equiv,_atom_site.B_iso_or_equiv,?,N,Y
,,atom_site,B_iso_or_equiv_esd,_atom_site.B_iso_or_equiv_esd,?,N,Y
,,atom_site,calc_attached_atom,_atom_site.calc_attached_atom,?,N,Y
,,atom_site,calc_flag,_atom_site.calc_flag,?,N,Y
10060,1,atom_site,Cartn_x,_atom_site.Cartn_x,?,N,Y
10061,1,atom_site,Cartn_x_esd,_atom_site.Cartn_x_esd,?,N,Y
10062,1,atom_site,Cartn_y,_atom_site.Cartn_y,?,N,Y
10063,1,atom_site,Cartn_y_esd,_atom_site.Cartn_y_esd,?,N,Y
